#{"t_start": 1765725402.6071446, "env_id": "Reacher-v5"}
r,l,t
-3.779498,50,244.451741
-4.73797,50,245.360984
-2.609129,50,246.21659
-4.16856,50,247.257842
-2.656496,50,248.114112
-4.07797,50,248.96215
-1.435594,50,249.827025
-1.864171,50,250.719644
-2.576822,50,251.588901
-3.385683,50,252.530542
-4.533627,50,253.374848
-4.564845,50,254.313711
-6.591386,50,255.187181
-2.258336,50,256.085763
-5.363776,50,256.952578
-3.495419,50,257.985859
-3.826348,50,258.882162
-6.214125,50,259.721393
-1.689046,50,260.589907
-5.319818,50,261.500543
-2.048697,50,262.362099
-2.572494,50,263.416249
-4.711531,50,264.258815
-2.686217,50,265.225939
-3.548181,50,266.10746
-2.274727,50,266.997137
-4.26279,50,267.945463
-2.908444,50,268.860821
-3.573644,50,269.72595
-2.602678,50,270.711204
-2.983975,50,271.586557
-2.939205,50,272.47613
-2.147197,50,273.453423
-3.650772,50,274.295825
-2.551367,50,275.136974
-3.767469,50,276.070361
-3.343362,50,276.942133
-2.418559,50,277.788178
-4.640607,50,278.750126
-4.094543,50,279.634604
-4.524912,50,280.499243
-2.948645,50,281.348022
-3.563461,50,282.201047
-2.30962,50,283.109688
-2.100156,50,284.067466
-4.585796,50,284.935398
-8.928176,50,285.815482
-3.442111,50,286.764421
-2.952025,50,287.627995
-2.309031,50,288.510456
-1.834388,50,289.551557
-4.772911,50,290.429596
-4.119734,50,291.307724
-3.464256,50,292.154003
-2.447177,50,292.996618
-2.189554,50,294.069045
-2.252267,50,294.928783
-7.061467,50,295.841269
-4.732533,50,296.697168
-2.376503,50,297.603748
-2.329298,50,298.46269
-2.651403,50,299.406202
-3.866441,50,300.271949
-1.670021,50,301.174265
-4.123463,50,302.0413
-2.127187,50,302.877116
-2.464223,50,303.724814
-4.718329,50,304.737208
-1.910489,50,305.630728
-1.369075,50,306.505859
-2.40972,50,307.357733
-2.338013,50,308.258871
-2.975854,50,309.138283
-1.7901,50,310.169829
-1.900763,50,311.030772
-3.226734,50,311.936115
-1.699443,50,312.783618
-1.683908,50,313.649652
-2.45688,50,314.589768
-2.740319,50,315.565523
-3.391951,50,316.442985
-2.558802,50,317.292803
-3.22673,50,318.166912
-2.211951,50,319.105033
-5.67606,50,320.092914
-6.168547,50,320.937653
-1.720136,50,321.799021
-5.405266,50,322.708037
-2.05756,50,323.558338
-6.94623,50,324.427404
-1.834345,50,325.407385
-1.975955,50,326.30488
-9.664915,50,327.161218
-2.510524,50,328.019942
-2.250301,50,328.88464
-1.462693,50,329.776206
-2.176821,50,330.826888
-3.526997,50,331.670357
-2.050208,50,332.509486
-2.784288,50,333.416796
-1.443618,50,334.272296
-4.987773,50,335.138895
-2.888831,50,336.138284
-2.227872,50,337.02314
-2.402464,50,337.925472
-1.459522,50,338.767639
-2.674365,50,339.631108
-5.388287,50,340.605429
-1.932633,50,341.459907
-1.336217,50,342.322981
-3.014639,50,343.164014
-2.801124,50,344.062177
-2.302386,50,344.914111
-2.630912,50,345.911001
-1.845394,50,346.791226
-3.078417,50,347.689695
-3.338187,50,348.572911
-3.51508,50,349.443311
-2.621988,50,350.305937
-5.628395,50,351.449258
-3.519509,50,352.382471
-1.431869,50,353.427139
-3.789135,50,354.385665
-2.359964,50,355.56463
-2.732177,50,356.717721
-2.362489,50,357.740853
-2.1566,50,358.746276
-2.27303,50,359.75319
-3.217333,50,360.718356
-5.232614,50,361.847242
-2.264469,50,362.717908
-1.156165,50,363.769426
-3.871948,50,364.691314
-2.156641,50,365.601313
-2.091143,50,366.630105
-1.368658,50,367.582203
-2.503271,50,368.480023
-1.780583,50,369.330274
-1.448161,50,370.202086
-2.797516,50,371.222733
-1.693188,50,372.178337
-1.52454,50,373.054589
-2.121359,50,373.894103
-2.558085,50,374.821312
-2.088302,50,375.801
-1.634985,50,376.676608
-3.004068,50,377.667163
-2.020733,50,378.583192
-2.609945,50,379.478597
-1.814249,50,380.333796
-1.743319,50,381.19212
-2.962627,50,382.24597
-1.68563,50,383.093509
-3.009125,50,383.954272
-2.824332,50,384.805864
-1.639631,50,385.760196
-1.452273,50,386.624834
-1.672913,50,387.602138
-3.644683,50,388.470354
-1.071391,50,389.381193
-2.122967,50,390.240891
-2.681445,50,391.155473
-2.453379,50,392.000026
-4.149319,50,393.090959
-2.433923,50,393.968714
-1.902711,50,394.842282
-1.457203,50,395.820134
-1.742857,50,396.742932
-1.445287,50,397.699478
-2.276076,50,398.553824
-2.239382,50,399.418432
-2.129475,50,400.280822
-1.608716,50,401.152247
-1.752748,50,401.994465
-2.919764,50,402.927985
-2.010595,50,403.905273
-2.162421,50,404.755869
-2.915656,50,405.74799
-1.663054,50,406.663437
-1.565966,50,407.615089
-1.514024,50,408.579337
-1.698562,50,409.447721
-2.431128,50,410.335092
-1.932435,50,411.224312
-1.773733,50,412.103095
-1.743586,50,412.984074
-3.119446,50,413.929087
-1.717612,50,414.839349
-2.803099,50,415.7479
-2.680725,50,416.625489
-2.010114,50,417.49423
-1.74322,50,418.632968
-1.376197,50,419.477795
-3.017196,50,420.314269
-2.207811,50,421.183809
-1.441465,50,422.106582
-2.397245,50,422.988611
-2.092975,50,423.936875
-1.493572,50,424.790045
-2.202878,50,425.741663
-2.401699,50,426.618796
-3.01855,50,427.499312
-2.067196,50,428.331706
-3.376128,50,429.320449
-1.688826,50,430.208787
-1.894636,50,431.049237
-2.065605,50,431.917024
-2.664594,50,432.796998
-1.772667,50,433.665005
-1.393785,50,434.783389
-3.167136,50,435.797076
-1.772806,50,436.749335
-2.478127,50,437.62365
-1.750897,50,438.502013
-2.444389,50,439.555892
-2.909299,50,440.427015
-2.899235,50,441.303232
-3.172926,50,442.159512
-1.611448,50,443.02811
-1.906165,50,443.924354
-2.180354,50,444.905081
-1.260811,50,445.804728
-1.895418,50,446.667428
-0.906182,50,447.604637
-1.490202,50,448.449551
-3.138105,50,449.315213
-1.537811,50,450.263154
-2.358028,50,451.166274
-1.676291,50,452.040493
-1.883451,50,452.885315
-2.064015,50,453.752086
-1.320131,50,454.695676
-2.507216,50,455.626964
-2.215633,50,456.494405
-2.99305,50,457.348516
-2.013655,50,458.290163
-2.291466,50,459.140793
-1.496984,50,460.21788
-1.548178,50,461.085247
-1.557015,50,462.023044
-1.755138,50,462.89406
-1.616282,50,463.731322
-2.018981,50,464.573725
-2.228745,50,465.653081
-1.978388,50,466.503257
-2.681811,50,467.391457
-1.984565,50,468.243767
-2.123171,50,469.213532
-2.782738,50,470.095713
-3.271747,50,471.050424
-1.572466,50,471.922451
-2.920219,50,472.822253
-2.44808,50,473.871958
-1.465596,50,475.119517
-2.04334,50,476.270653
-2.702305,50,477.407196
-2.465368,50,478.811076
-2.044038,50,479.79146
-2.914257,50,481.094264
-2.378799,50,482.228585
-2.415001,50,483.256757
-1.973033,50,484.092124
-1.524467,50,484.954811
-2.173916,50,486.378436
-1.949649,50,487.351293
-1.893491,50,488.383128
-1.386728,50,489.393987
-2.384319,50,490.365618
-3.176964,50,491.510623
-1.954595,50,492.629996
-3.050337,50,493.777858
-1.588877,50,495.444898
-1.722445,50,496.715486
-2.029981,50,497.65944
-2.2742,50,498.713248
-1.591036,50,499.634307
