#{"t_start": 1765929090.221403, "env_id": "Reacher-v5"}
r,l,t
166.935246,50,29.513881
146.001969,50,29.64193
26.296712,50,29.768843
177.530801,50,29.896128
202.850816,50,30.024362
92.291766,50,30.151317
44.388378,50,30.27848
151.797884,50,30.405843
226.285327,50,30.534538
206.290845,50,30.661859
173.79007,50,30.789196
141.287327,50,30.916522
67.880283,50,31.044942
150.636902,50,31.172279
113.273575,50,31.299471
80.917707,50,31.426784
116.794899,50,31.554939
83.808101,50,31.682101
88.069156,50,31.809387
35.910271,50,31.936773
210.619768,50,32.065074
165.477674,50,32.192367
130.713185,50,32.325343
173.604406,50,32.47326
13.432295,50,32.605591
187.259024,50,32.732465
150.531555,50,32.859071
135.009561,50,32.985631
145.611942,50,33.113701
152.456467,50,33.240398
59.309799,50,33.366886
84.287694,50,33.493573
136.647826,50,33.621923
45.421525,50,33.748508
218.00852,50,33.877463
194.59441,50,34.016282
109.745947,50,34.145174
120.373396,50,34.272318
125.762206,50,34.402459
48.484366,50,34.52963
132.340644,50,34.657823
208.070416,50,34.784965
150.14425,50,34.912085
226.79103,50,35.039396
235.58915,50,35.16794
195.746806,50,35.295313
236.951168,50,35.422984
262.5393,50,35.549856
54.70391,50,35.677865
173.274087,50,35.804835
176.395876,50,35.931776
128.958822,50,36.057864
183.520961,50,36.185096
186.939643,50,36.311197
180.078461,50,36.438139
207.047593,50,36.565018
-8.242711,50,36.693038
184.525286,50,36.820163
181.224009,50,36.947131
159.873536,50,37.074126
78.610882,50,37.202397
115.229407,50,37.329271
139.793105,50,37.456046
185.862694,50,37.582817
215.625981,50,37.710614
214.790345,50,37.837207
180.276189,50,37.96353
269.609132,50,38.090041
75.619292,50,38.219476
243.109666,50,38.349566
136.75511,50,38.478998
41.608675,50,38.608245
223.943542,50,38.741078
176.361219,50,38.873384
179.885775,50,39.002652
287.944235,50,39.129288
206.042118,50,39.257298
146.827976,50,39.389179
155.092118,50,39.53964
198.098769,50,39.707512
5.485037,50,39.858647
122.521744,50,39.996351
171.696466,50,40.136819
127.81574,50,40.274755
106.34484,50,40.416346
184.051461,50,40.557861
145.931639,50,40.691017
37.030141,50,40.819922
144.173292,50,40.951414
169.803969,50,41.080953
271.097211,50,41.211771
225.285157,50,41.340111
134.212178,50,41.471503
51.795905,50,41.599999
145.634455,50,41.730099
128.872341,50,41.863399
28.475287,50,41.994224
164.998389,50,42.122038
157.261775,50,42.249859
249.593915,50,42.377611
96.752514,50,42.508644
52.432424,50,42.637286
161.289128,50,42.765574
60.881297,50,42.894151
114.107834,50,43.031058
105.180129,50,43.159946
18.843428,50,43.288916
216.943478,50,43.417571
-3.466977,50,43.547856
100.242455,50,43.675956
30.129189,50,43.80482
176.782474,50,43.93391
335.429838,50,44.064386
77.019669,50,44.193172
108.843175,50,44.331271
98.933261,50,44.471831
133.330859,50,44.630745
153.860573,50,44.772198
221.9082,50,44.910493
285.755358,50,45.049577
119.582103,50,45.188126
154.124964,50,45.316752
5.464854,50,45.44488
153.749618,50,45.572588
201.694355,50,45.702819
